"mpio","dep","pob","emplserv","mpionombre","depnombre","ind"
88001,88,40670,166,"San Andrés","Archipiélago de San Andrés",408.163265306122
68296,68,736,3,"Galán","Santander",407.608695652174
27450,27,3440,14,"Medio San Juan","Chocó",406.976744186047
25214,25,10704,43,"Cota","Cundinamarca",401.718983557549
25785,25,9288,37,"Tabio","Cundinamarca",398.363479758829
54128,54,1509,6,"Cachirá","Norte de Santander",397.614314115308
15325,15,1259,5,"Guayatá","Boyacá",397.14058776807
15599,15,3777,15,"Ramiriquí","Boyacá",397.14058776807
54223,54,1269,5,"Cucutilla","Norte de Santander",394.011032308905
52079,52,11930,47,"Barbacoas","Nariño",393.964794635373
17001,17,338168,1329,"Manizales","Caldas",392.999929029358
68235,68,4903,19,"El Carmen de Chucurí","Santander",387.517846216602
68689,68,12397,48,"San Vicente de Chucurí","Santander",387.190449302251
15832,15,260,1,"Tununguá","Boyacá",384.615384615385
25718,25,2093,8,"Sasaima","Cundinamarca",382.226469182991
27077,27,2371,9,"Bajo Baudó","Chocó",379.586672290173
27810,27,2116,8,"Unión Panamericana","Chocó",378.071833648393
19698,19,40496,153,"Santander de Quilichao","Cauca",377.815092848676
15097,15,2393,9,"Boavita","Boyacá",376.096949435855
15176,15,44681,168,"Chiquinquirá","Boyacá",375.998746670844
52399,52,10125,38,"La Unión","Nariño",375.308641975309
68051,68,2145,8,"Aratoca","Santander",372.960372960373
52233,52,1341,5,"Cumbitara","Nariño",372.856077554064
52317,52,3221,12,"Guachucal","Nariño",372.555107109593
23686,23,6989,26,"San Pelayo","Córdoba",372.01316354271
54109,54,541,2,"Bucarasica","Norte de Santander",369.685767097967
15861,15,1902,7,"Ventaquemada","Boyacá",368.033648790747
54239,54,1906,7,"Durania","Norte de Santander",367.261280167891
68207,68,2455,9,"Concepción","Santander",366.598778004073
25873,25,5188,19,"Villapinzón","Cundinamarca",366.229760986893
52240,52,6282,23,"Chachagüí","Nariño",366.125437758676
86865,86,12615,46,"Valle del Guamuez","Putumayo",364.645263575109
68572,68,5219,19,"Puente Nacional","Santander",364.054416554896
19318,19,16508,60,"Guapi","Cauca",363.460140537921
68867,68,551,2,"Vetas","Santander",362.976406533575
15001,15,143288,520,"Tunja","Boyacá",362.905477081123
68092,68,1106,4,"Betulia","Santander",361.663652802893
68167,68,5842,21,"Charalá","Santander",359.465936323177
68077,68,19891,71,"Barbosa","Santander",356.945352169323
54820,54,4206,15,"Toledo","Norte de Santander",356.633380884451
73217,73,4220,15,"Coyaima","Tolima",355.450236966825
68720,68,565,2,"Santa Helena del Opón","Santander",353.982300884956
25799,25,7914,28,"Tenjo","Cundinamarca",353.803386403841
17614,17,13319,47,"Riosucio","Caldas",352.879345296193
15759,15,94267,330,"Sogamoso","Boyacá",350.069483488389
73043,73,2002,7,"Anzoátegui","Tolima",349.65034965035
25151,25,6123,21,"Caqueza","Cundinamarca",342.96913277805
25867,25,1171,4,"Vianí","Cundinamarca",341.588385994876
15022,15,293,1,"Almeida","Boyacá",341.296928327645
15442,15,884,3,"Maripí","Boyacá",339.366515837104
52110,52,4764,16,"Buesaco","Nariño",335.852225020991
68861,68,8938,30,"Vélez","Santander",335.645558290445
15276,15,1193,4,"Floresta","Boyacá",335.289186923722
13688,13,14629,49,"Santa Rosa del Sur","Bolívar",334.951124478775
23466,23,50086,167,"Montelíbano","Córdoba",333.426506408977
25839,25,901,3,"Ubalá","Cundinamarca",332.963374028857
15368,15,601,2,"Jericó","Boyacá",332.778702163062
15537,15,3016,10,"Paz de Río","Boyacá",331.564986737401
23419,23,3388,11,"Los Córdobas","Córdoba",324.675324675325
52585,52,5248,17,"Pupiales","Nariño",323.932926829268
85315,85,929,3,"Sácama","Casanare",322.927879440258
23189,23,20835,67,"Ciénaga de Oro","Córdoba",321.574274058075
91001,91,22426,72,"Leticia","Amazonas",321.055917238919
25123,25,3116,10,"Cachipay","Cundinamarca",320.924261874198
15531,15,2496,8,"Pauna","Boyacá",320.51282051282
54250,54,3750,12,"El Tarra","Norte de Santander",320
5615,5,65016,207,"Rionegro","Antioquia",318.383167220376
19364,19,946,3,"Jambaló","Cauca",317.124735729387
68498,68,633,2,"Ocamonte","Santander",315.955766192733
15516,15,15210,48,"Paipa","Boyacá",315.581854043392
18001,18,119377,376,"Florencia","Caquetá",314.968545029612
13580,13,1905,6,"Regidor","Bolívar",314.96062992126
19022,19,1590,5,"Almaguer","Cauca",314.465408805031
95200,95,1591,5,"Miraflores","Guaviare",314.267756128221
15664,15,955,3,"San José de Pare","Boyacá",314.13612565445
41668,41,9881,31,"San Agustín","Huila",313.733427790709
76111,76,95182,297,"Guadalajara de Buga","Valle del Cauca",312.033787901074
19532,19,11601,36,"Patía","Cauca",310.318076027929
